Mã hàng;Mã vạch;Tên hàng;Thương hiệu;Giá bán;Giá vốn;Tồn kho;KH đặt;Dự kiến hết hàng;Tồn nhỏ nhất;Tồn lớn nhất;ĐVT;Mã ĐVT Cơ bản;Quy đổi;Thuộc tính;Mã HH Liên quan;Trọng lượng;Đang kinh doanh;Được bán trực tiếp;Giá sỉ
ot1;8936025773655;Kun vị ổi túi 110ml;Kun;5.000,0;4.125,00;157,0;;;0,0;0,0;túi;;1,0;;;0,0;1;1;0,0
ot1-1;PVN2481;Kun vị ổi túi 110ml;Kun;46.000,0;41.250,00;15,70;;;0,0;0,0;lóc;ot1;10,0;;ot1;0,0;1;1;0,0
ot1-2;PVN2482;Kun vị ổi túi 110ml;Kun;108.000,0;99.000,00;6,542;;;0,0;0,0;thùng;ot1;24,0;;ot1;0,0;1;1;0,0
KC1;KC1;Sữa Kun vị cam hộp 110ml;Kun;5.000,0;3.876,00;52,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
KC1-1;8936025771132;Sữa Kun vị cam hộp 110ml;Kun;18.000,0;15.504,00;13,0;;;0,0;0,0;lóc;KC1;4,0;;KC1;0,0;1;1;0,0
KC1T;PVN2703;Sữa Kun vị cam hộp 110ml;Kun;189.000,0;186.048,00;1,083;;;0,0;0,0;thùng;KC1;48,0;;KC1;0,0;1;1;0,0
KCD1;PVN5395;Sữa Kun có đường hộp 110ml;Kun;6.000,0;4.625,00;18,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
KCD1-1;8936025774324;Sữa Kun có đường hộp 110ml;Kun;20.000,0;18.500,00;4,50;;;0,0;0,0;lóc;KCD1;4,0;;KCD1;0,0;1;1;0,0
KCD1-2;PVN5397;Sữa Kun có đường hộp 110ml;Kun;228.000,0;222.000,00;0,375;;;0,0;0,0;thùng;KCD1;48,0;;KCD1;0,0;1;1;0,0
KND1;PVN6296;Sữa Kun vị trái cây nhiệt đới hộp 110ml;Kun;5.000,0;3.657,00;9,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
KND1-1;8936025771743;Sữa Kun vị trái cây nhiệt đới hộp 110ml;Kun;17.000,0;14.628,00;2,250;;;0,0;0,0;lóc;KND1;4,0;;KND1;0,0;1;1;0,0
KND1-2;PVN6298;Sữa Kun vị trái cây nhiệt đới hộp 110ml;Kun;184.000,0;175.536,00;0,188;;;0,0;0,0;thùng;KND1;48,0;;KND1;0,0;1;1;0,0
KND18;PVN6299;Sữa Kun vị trái cây nhiệt đới hộp 180ml;Kun;8.000,0;6.000,00;108,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
KND18-1;8936025772993;Sữa Kun vị trái cây nhiệt đới hộp 180ml;Kun;26.000,0;24.000,00;27,0;;;0,0;0,0;lóc;KND18;4,0;;KND18;0,0;1;1;0,0
KND18-2;PVN6301;Sữa Kun vị trái cây nhiệt đới hộp 180ml;Kun;294.000,0;288.000,00;2,250;;;0,0;0,0;thùng;KND18;48,0;;KND18;0,0;1;1;0,0
KDK18;PVN7147;Sữa Kun 100% sữa tươi cao lớn đề kháng 180ml;Kun;9.000,0;7.084,00;92,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
KDK18-1;8936025774331;Sữa Kun 100% sữa tươi cao lớn đề kháng 180ml;Kun;30.000,0;28.336,00;23,0;;;0,0;0,0;lóc;KDK18;4,0;;KDK18;0,0;1;1;0,0
KDK18-2;PVN7149;Sữa Kun 100% sữa tươi cao lớn đề kháng 180ml;Kun;346.000,0;340.032,00;1,917;;;0,0;0,0;thùng;KDK18;48,0;;KDK18;0,0;1;1;0,0
KCT18;PVN7890;Sữa Kun vị cam có thạch hộp 170ml;Kun;9.000,0;7.124,00;20,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
KCT18-1;8936025774836;Sữa Kun vị cam có thạch hộp 170ml;Kun;30.000,0;28.496,00;5,0;;;0,0;0,0;lóc;KCT18;4,0;;KCT18;0,0;1;1;0,0
KCT18-2;PVN7892;Sữa Kun vị cam có thạch hộp 170ml;Kun;338.000,0;341.952,00;0,417;;;0,0;0,0;thùng;KCT18;48,0;;KCT18;0,0;1;1;0,0
KST18;PVN7894;Sữa Kun hương Sôcôla lúa mạch có thạch hộp 170ml;Kun;9.000,0;7.021,00;147,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
KST18-1;8936025774812;Sữa Kun hương Sôcôla lúa mạch có thạch hộp 170ml;Kun;30.000,0;28.084,00;36,750;;;0,0;0,0;lóc;KST18;4,0;;KST18;0,0;1;1;0,0
KST18-2;PVN7896;Sữa Kun hương Sôcôla lúa mạch có thạch hộp 170ml;Kun;338.000,0;337.008,00;3,063;;;0,0;0,0;thùng;KST18;48,0;;KST18;0,0;1;1;0,0
KDT17;KDT17;Sữa Kun hương dâu có thạch hộp 170ml;Kun;9.000,0;6.800,00;60,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
KDT17-1;8936025774843;Sữa Kun hương dâu có thạch hộp 170ml;Kun;30.000,0;27.200,00;15,0;;;0,0;0,0;lóc;KDT17;4,0;;KDT17;0,0;1;1;0,0
KDT17-2;PVN8240;Sữa Kun hương dâu có thạch hộp 170ml;Kun;338.000,0;326.400,00;1,250;;;0,0;0,0;thùng;KDT17;48,0;;KDT17;0,0;1;1;0,0
